y,prob_A_raw,prob_A_cal,prob_C_raw,prob_C_cal,decision_A,decision_C
0,0.22539202868938446,0.31865284974093266,0.24925437569618225,0.3607843137254902,Decline,Decline
0,0.5406873226165771,0.5532994923857869,0.5587625503540039,0.5667828106852498,Decline,Decline
0,0.6176783442497253,0.5596590909090909,0.4051092267036438,0.3989071038251366,Decline,Decline
0,0.6435278654098511,0.5964912280701754,0.6970086693763733,0.6386292834890965,Decline,Decline
0,0.49097734689712524,0.4900398406374503,0.5510886311531067,0.5667828106852498,Decline,Decline
0,0.8198907375335693,0.7647058823529411,0.6169086694717407,0.5667828106852498,Decline,Decline
0,0.3791303038597107,0.37333333333333335,0.5754696726799011,0.5667828106852498,Decline,Decline
0,0.3263150453567505,0.34219269102990035,0.3158903121948242,0.3607843137254902,Decline,Decline
0,0.418396919965744,0.4322033898305085,0.42279183864593506,0.4166666666666667,Decline,Decline
0,0.36571773886680603,0.37333333333333335,0.2876867651939392,0.3607843137254902,Decline,Decline
0,0.7582424879074097,0.726027397260274,0.7483943104743958,0.7115384615384616,Decline,Decline
0,0.33263513445854187,0.3548387096774194,0.24717658758163452,0.3607843137254902,Decline,Decline
0,0.3568994998931885,0.3620689655172414,0.5368180274963379,0.5552050473186118,Decline,Decline
0,0.09827037900686264,0.04950495049504951,0.09709631651639938,0.12790697674418605,Approve,Review
0,0.09726078063249588,0.04950495049504951,0.15398521721363068,0.17045454545454544,Approve,Review
0,0.02411307580769062,0.0,0.026075169444084167,0.0,Approve,Approve
0,0.5910091400146484,0.5532994923857869,0.6233506798744202,0.5667828106852498,Decline,Decline
0,0.1985926628112793,0.28160919540229884,0.1564096212387085,0.17045454545454544,Decline,Review
0,0.36904752254486084,0.37333333333333335,0.3342311382293701,0.3607843137254902,Decline,Decline
0,0.4570450782775879,0.48444444444444446,0.3802720308303833,0.3656884875846501,Decline,Decline
0,0.542945921421051,0.5532994923857869,0.5395476818084717,0.5552050473186118,Decline,Decline
0,0.3779723048210144,0.37333333333333335,0.3310229182243347,0.3607843137254902,Decline,Decline
0,0.5125113129615784,0.5202702702702703,0.46066680550575256,0.47674418604651164,Decline,Decline
0,0.6903473138809204,0.6575342465753424,0.6743679046630859,0.6386292834890965,Decline,Decline
0,0.26375412940979004,0.31865284974093266,0.1424405574798584,0.17045454545454544,Decline,Review
0,0.38256505131721497,0.4322033898305085,0.40342801809310913,0.3989071038251366,Decline,Decline
0,0.5431416034698486,0.5532994923857869,0.48716357350349426,0.48325358851674644,Decline,Decline
0,0.25234755873680115,0.31865284974093266,0.22677230834960938,0.2823529411764705,Decline,Decline
0,0.6692864894866943,0.5964912280701754,0.6567182540893555,0.6386292834890965,Decline,Decline
0,0.5005825757980347,0.4900398406374503,0.582836925983429,0.5667828106852498,Decline,Decline
0,0.4000133275985718,0.4322033898305085,0.4298563003540039,0.4440894568690096,Decline,Decline
0,0.31050366163253784,0.34219269102990035,0.31028908491134644,0.3607843137254902,Decline,Decline
0,0.4797819256782532,0.48444444444444446,0.40915271639823914,0.3989071038251366,Decline,Decline
0,0.4019019305706024,0.4322033898305085,0.5406042337417603,0.5552050473186118,Decline,Decline
0,0.23300187289714813,0.31865284974093266,0.41910189390182495,0.4166666666666667,Decline,Decline
0,0.16565565764904022,0.28160919540229884,0.15135468542575836,0.17045454545454544,Decline,Review
0,0.8066680431365967,0.7647058823529411,0.8127646446228027,0.7657992565055762,Decline,Decline
0,0.5096988677978516,0.5202702702702703,0.3410928249359131,0.3656884875846501,Decline,Decline
0,0.6142061352729797,0.5596590909090909,0.5093264579772949,0.5552050473186118,Decline,Decline
0,0.6079821586608887,0.5596590909090909,0.608732283115387,0.5667828106852498,Decline,Decline
0,0.377029687166214,0.37333333333333335,0.3904283940792084,0.3656884875846501,Decline,Decline
0,0.3679827153682709,0.37333333333333335,0.43552446365356445,0.4440894568690096,Decline,Decline
0,0.4923305809497833,0.4900398406374503,0.5313512682914734,0.5552050473186118,Decline,Decline
0,0.45759791135787964,0.48444444444444446,0.5414147973060608,0.5552050473186118,Decline,Decline
